Date,rf
2015-12-23,7.532528806680986e-06
2015-12-24,7.255268148295638e-06
2015-12-28,7.532528806680986e-06
2015-12-29,8.52258767121041e-06
2015-12-30,7.730560105672651e-06
2015-12-31,5.8686742001769365e-06
2016-01-04,6.146031752987827e-06
2016-01-05,8.126593648632934e-06
2016-01-06,8.126593648632934e-06
2016-01-07,7.532528806680986e-06
2016-01-08,7.532528806680986e-06
2016-01-11,6.938375017327877e-06
2016-01-12,8.324595304438166e-06
2016-01-13,8.52258767121041e-06
2016-01-14,9.512398992879964e-06
2016-01-15,8.839354321896692e-06
2016-01-19,9.116504326630944e-06
2016-01-20,1.00270033725313e-05
2016-01-21,1.0818572767080903e-05
2016-01-22,1.1412145324772354e-05
2016-01-25,1.0897721140739604e-05
2016-01-26,1.1886940867663533e-05
2016-01-27,1.1886940867663533e-05
2016-01-28,1.2599025325167404e-05
2016-01-29,1.1886940867663533e-05
2016-02-01,1.1689115705654794e-05
2016-02-02,1.307367888940057e-05
2016-02-03,1.3192332820605761e-05
2016-02-04,1.121429767057258e-05
2016-02-05,1.1016440151670014e-05
2016-02-08,1.030407044502325e-05
2016-02-09,1.1886940867663533e-05
2016-02-10,1.180781222211591e-05
2016-02-11,1.0818572767080903e-05
2016-02-12,1.0699847836278057e-05
2016-02-16,1.0818572767080903e-05
2016-02-17,1.1609984294429808e-05
2016-02-18,1.1412145324772354e-05
2016-02-19,1.121429767057258e-05
2016-02-22,1.1609984294429808e-05
2016-02-23,1.2599025325167404e-05
2016-02-24,1.2480353652007428e-05
2016-02-25,1.2282559250280143e-05
2016-02-26,1.2005630288049623e-05
2016-02-29,1.2203438493214119e-05
2016-03-01,1.2678138195324502e-05
2016-03-02,1.2005630288049623e-05
2016-03-03,1.0422808396907259e-05
2016-03-04,1.0501963485049495e-05
2016-03-07,1.0501963485049495e-05
2016-03-08,1.2084754989159832e-05
2016-03-09,1.1412145324772354e-05
2016-03-10,1.2005630288049623e-05
2016-03-11,1.2203438493214119e-05
2016-03-14,1.2203438493214119e-05
2016-03-15,1.2875912881214046e-05
2016-03-16,1.1886940867663533e-05
2016-03-17,1.0897721140739604e-05
2016-03-18,1.1095584578924275e-05
2016-03-21,1.1412145324772354e-05
2016-03-22,1.1689115705654794e-05
2016-03-23,1.1609984294429808e-05
2016-03-24,1.0897721140739604e-05
2016-03-28,1.0106167535767699e-05
2016-03-29,8.918541591303372e-06
2016-03-30,7.334487624664482e-06
2016-03-31,7.651349126081964e-06
2016-04-01,8.641377759667378e-06
2016-04-04,7.255268148295638e-06
2016-04-05,8.641377759667378e-06
2016-04-06,8.720569569811355e-06
2016-04-07,8.720569569811355e-06
2016-04-08,8.641377759667378e-06
2016-04-11,8.324595304438166e-06
2016-04-12,9.116504326630944e-06
2016-04-13,8.839354321896692e-06
2016-04-14,8.52258767121041e-06
2016-04-15,8.324595304438166e-06
2016-04-18,7.849374495714511e-06
2016-04-19,8.52258767121041e-06
2016-04-20,8.641377759667378e-06
2016-04-21,8.918541591303372e-06
2016-04-22,8.918541591303372e-06
2016-04-25,9.433223573243221e-06
2016-04-26,9.710332105630794e-06
2016-04-27,9.710332105630794e-06
2016-04-28,8.324595304438166e-06
2016-04-29,7.651349126081964e-06
2016-05-02,7.334487624664482e-06
2016-05-03,8.047389983900319e-06
2016-05-04,7.849374495714511e-06
2016-05-05,7.255268148295638e-06
2016-05-06,7.136436558636637e-06
2016-05-09,8.047389983900319e-06
2016-05-10,9.631160045254642e-06
2016-05-11,9.82908664468907e-06
2016-05-12,1.022491022976597e-05
2016-05-13,1.022491022976597e-05
2016-05-16,1.022491022976597e-05
2016-05-17,1.0620695515821333e-05
2016-05-18,1.0699847836278057e-05
2016-05-19,1.1491281860398246e-05
2016-05-20,1.180781222211591e-05
2016-05-23,1.240123683859242e-05
2016-05-24,1.3587821088972239e-05
2016-05-25,1.2480353652007428e-05
2016-05-26,1.0897721140739604e-05
2016-05-27,1.180781222211591e-05
2016-05-31,1.121429767057258e-05
2016-06-01,1.1689115705654794e-05
2016-06-02,1.0699847836278057e-05
2016-06-03,1.0699847836278057e-05
2016-06-06,9.908254756298409e-06
2016-06-07,1.0501963485049495e-05
2016-06-08,9.314456596831934e-06
2016-06-09,9.512398992879964e-06
2016-06-10,9.512398992879964e-06
2016-06-13,9.710332105630794e-06
2016-06-14,1.0422808396907259e-05
2016-06-15,1.0106167535767699e-05
2016-06-16,9.710332105630794e-06
2016-06-17,9.82908664468907e-06
2016-06-20,9.82908664468907e-06
2016-06-21,1.0501963485049495e-05
2016-06-22,1.0620695515821333e-05
2016-06-23,1.0897721140739604e-05
2016-06-24,9.433223573243221e-06
2016-06-27,9.314456596831934e-06
2016-06-28,1.030407044502325e-05
2016-06-29,1.0106167535767699e-05
2016-06-30,9.82908664468907e-06
2016-07-01,9.631160045254642e-06
2016-07-05,9.433223573243221e-06
2016-07-06,1.0422808396907259e-05
2016-07-07,1.0699847836278057e-05
2016-07-08,1.0818572767080903e-05
2016-07-11,1.0897721140739604e-05
2016-07-12,1.1689115705654794e-05
2016-07-13,1.180781222211591e-05
2016-07-14,1.2005630288049623e-05
2016-07-15,1.180781222211591e-05
2016-07-18,1.1412145324772354e-05
2016-07-19,1.2282559250280143e-05
2016-07-20,1.2480353652007428e-05
2016-07-21,1.2005630288049623e-05
2016-07-22,1.2005630288049623e-05
2016-07-25,1.180781222211591e-05
2016-07-26,1.2203438493214119e-05
2016-07-27,1.121429767057258e-05
2016-07-28,8.720569569811355e-06
2016-07-29,9.512398992879964e-06
2016-08-01,9.433223573243221e-06
2016-08-02,1.1095584578924275e-05
2016-08-03,1.0620695515821333e-05
2016-08-04,9.82908664468907e-06
2016-08-05,9.908254756298409e-06
2016-08-08,9.908254756298409e-06
2016-08-09,1.1609984294429808e-05
2016-08-10,1.0818572767080903e-05
2016-08-11,1.0897721140739604e-05
2016-08-12,1.0422808396907259e-05
2016-08-15,1.0897721140739604e-05
2016-08-16,1.1412145324772354e-05
2016-08-17,1.1412145324772354e-05
2016-08-18,1.1293438151815924e-05
2016-08-19,1.1609984294429808e-05
2016-08-22,1.1095584578924275e-05
2016-08-23,1.2084754989159832e-05
2016-08-24,1.2084754989159832e-05
2016-08-25,1.2084754989159832e-05
2016-08-26,1.2084754989159832e-05
2016-08-29,1.2084754989159832e-05
2016-08-30,1.2875912881214046e-05
2016-08-31,1.2678138195324502e-05
2016-09-01,1.2480353652007428e-05
2016-09-02,1.2005630288049623e-05
2016-09-06,1.2005630288049623e-05
2016-09-07,1.307367888940057e-05
2016-09-08,1.3192332820605761e-05
2016-09-09,1.3192332820605761e-05
2016-09-12,1.3864639662138983e-05
2016-09-13,1.366691424871092e-05
2016-09-14,1.2480353652007428e-05
2016-09-15,1.1016440151670014e-05
2016-09-16,1.0818572767080903e-05
2016-09-19,9.433223573243221e-06
2016-09-20,1.1412145324772354e-05
2016-09-21,8.839354321896692e-06
2016-09-22,6.344132253934007e-06
2016-09-23,6.542223456275976e-06
2016-09-26,6.8591476327674e-06
2016-09-27,1.0106167535767699e-05
2016-09-28,1.0422808396907259e-05
2016-09-29,9.314456596831934e-06
2016-09-30,1.030407044502325e-05
2016-10-03,1.1412145324772354e-05
2016-10-04,1.2480353652007428e-05
2016-10-05,1.240123683859242e-05
2016-10-06,1.2282559250280143e-05
2016-10-07,1.2282559250280143e-05
2016-10-10,1.2203438493214119e-05
2016-10-11,1.2678138195324502e-05
2016-10-12,1.346917898276648e-05
2016-10-13,1.0897721140739604e-05
